Utilizat pentru,Denumire,slug
,Lac Poliuretanic “Emex UV Shield”,lac-poliuretanic-protectie-radiatii
,Email Alchido-Poliuretanic “Emex Screenpol”,vopsea-tigla-metalica-screenpol
,Email Poliuretanic “Emex”,vopsea-poliuretanica
,Grundul Anticoroziv Nitro-Combinat “Emex FZ-214”,grund-nitro-combinat-anticoroziv
,Grund Anticoroziv Acrilo-Stirenic cu Microfibra si Zinc “Emex MZ-801”,grund-acrilo-stirenic-zinc-microfibra
,Email Acrilo-Stirenic cu Microfulgi “Emex Panel”,email-panouri-sandwich
,Vopsea Acrilica Bicomponenta fara Izocianat “Emex Hybrid”,vopsea-acrilica-bicomponenta-noiso
,Emailul Nitro-Combinat “Emex QN-212”,email-nitro-combinat
,,
"Lemn, metal, zidarie",Pachet Amorsa Epoxidica Emulsionata “Emex”,amorsa-epoxidica-baza-apa
,Email Poliuretanic “Emex”,vopsea-poliuretanica
,Lac Acrilic pentru Piatra “Emex AQS”,lac-piatra-apa
,Lac Protectie Beton “Emex Mineral Protect”,lac-protectie-beton
,Email Alchidic Premium “Emex Gold”,email-emex-gold
,Email Alchidic “Emex Extracolor”,email-alchidic-emex
,Email Clorcauciuc “Emex”,vopsea-clorcauciuc
,Grund Epoxidic Emulsionat “Emex WD-AE”,grund-epoxidic-solubil-apa
,Email Epoxidic “Emex”,vopsea-epoxidica
,Email Epoxidic cu Microfulgi “Emex EFS-323” ,email-epoxidic-medii-agresive
,Email Epoxidic Emulsionat “Emex WD-E”,email-epoxidic-emulsionat-apa
,Lac Poliuretanic “Emex UV Shield”,lac-poliuretanic-protectie-radiatii
,,
Pardoseala,Vopsea Epoxidica Pardoseala cu Microfulgi “Emex MFS-331”,vopsea-epoxidica-pardoseli-microfulgi
,Vopsea Epoxidica Pardoseala “Emex”,vopsea-epoxidica-pardoseli
,Vopsea Epoxidica Emulsionata Pardoseli “Emex Deck”,vopsea-epoxidica-baza-apa-pardoseala
,Pardoseala Epoxidica Autonivelanta “Emex”,pardoseala-epoxidica
,Pardoseala Epoxidica Antiderapanta “Emex”,pardoseala-epoxidica-antiderapanta
,Pardoseala Epoxidica Decorativa “Emex Quartz”,pardoseala-epoxidica-decorativa-cuartz
,Pardoseala Epoxidica Multicolor “Emex”,pardoseala-epoxidica-multicolor
,Vopsea Poliuretanica Pardoseala “Emex”,vopsea-poliuretanica-pardoseli
,Pardoseala Poliuretanica Autonivelanta “Emex”,pardoseala-poliuretanica
,Pardoseala Poliuretanica Elastica “Emex”,pardoseala-poliuretanica-elastica
,Pardoseala Poliuretanica Antiderapanta “Emex”,pardoseala-poliuretanica-antiderapanta
,Vopsea Clorcauciuc Pardoseala “Emex”,vopsea-clorcauciuc-pardoseli
,Lac Beton Amprentat “Emex LS Patio”,lac-beton-amprentat
,Grund de Amorsare Clorcauciuc “Emex”,amorsa-clorcauciuc-impregnare
,Pachet Amorsa Epoxidica Emulsionata “Emex”,amorsa-epoxidica-baza-apa
,Pachet Grund Epoxidic Amorsare Solventat “Emex”,amorsa-epoxidica-impregnare
,Rasina Epoxidica de Turnare “Emex TopCast”,rasina-epoxidica-turnare-strat-gros
,Pardoseala Epoxidica Autonivelanta “Emex”,pardoseala-epoxidica
,Pardoseala Epoxidica Antiderapanta “Emex”,pardoseala-epoxidica-antiderapanta
,Pardoseala Epoxidica Decorativa “Emex Quartz”,pardoseala-epoxidica-decorativa-cuartz
,Sapa Epoxy-Cimentica “Emex Mineral”,sapa-epoxidica-egalizare
,Pardoseala Epoxidica Multicolor “Emex”,pardoseala-epoxidica-multicolor
,"Masa Epoxidica de Spaclu "" Emex MSE 31""",masa-epoxidica-de-spaclu
,Mortar Epoxidic “Emex Fill”,mortar-epoxidic
,Grund Epoxidic Impregnare Solvent-Free “Emex”,amorsa-impregnare-pardoseli-epoxidice
,Lac Epoxidic Solvent-Free “Emex Epoxy Contact”,lac-epoxidic-sigilare
,Lac Epoxidic Solventat “Emex Epoxy Coat”,lac-epoxidic-solventat
,Grund Poliuretanic Impregnare Solvent-Free “Emex”,amorsa-poliuretanica-nesolventata-pardoseli
,Grund Poliuretanic Amorsare Solventat “Emex”,amorsa-poliuretanica-impregnare
,Vopsea Poliuretanica Pardoseala “Emex”,vopsea-poliuretanica-pardoseli
,Pardoseala Poliuretanica Autonivelanta “Emex”,pardoseala-poliuretanica
,Pardoseala Poliuretanica Elastica “Emex”,pardoseala-poliuretanica-elastica
,Pardoseala Poliuretanica Antiderapanta “Emex”,pardoseala-poliuretanica-antiderapanta
,"Covor Poliuretanic de Piatra ""Emex Pebble""",pardoseala-poliuretanica-exterior-covor-de-piatra
,Lac Poliuretanic “Emex UV Shield”,lac-poliuretanic-protectie-radiatii
,Lac Poliuretanic Beton Amprentat “Emex PU Stamp”,lac-poliuretanic-beton-amprentat
,"Membrana Poliuretanica Hidroizolanta ""Emex""",membrana-poliuretanica-hidroizolanta
,Vopsea Poliuretanica “Emex Flexipol”,vopsea-poliuretanica-elastica
,Vopsea Poliaspartica pentru Pardoseala “Emex P31-AS”,vopsea-poliaspartica-pardoseli-rapide
,Lac Poliaspartic de Inalta Duritate “Emex L32-AS”,lac-poliaspartic-inalta-duritate
,Lac Poliuretanic pe Baza de Apa pentru Protectie si Corectie “Emex Polimat”,lac-poliuretanic-protectie-pardoseli-polimat
,,
Pereti,Vopsea Lavabila Cuartz “Emex QT”,lavabila-cuartz-fatade
,Vopsea Lavabila Premium “Emex Gold”,lavabila-premium-gold
,Vopsea Lavabila Lucioasa “Emex Gloss”,vopsea-lavabila-lucioasa
,Vopsea Superlavabila Interior “Emex”,superlavabila-interior-emex
,Vopsea Lavabila Satinata “Emex Silk”,lavabila-satinata-interior
,Vopsea Lavabila Antimucegai “Emex”,vopsea-lavabila-antimucegai
,Vopsea Lavabila Interior “Neomatt Plus”,lavabila-interior-neomatt-plus
,Vopsea Superlavabila Exterior “Emex”,superlavabila-exterior-emex
,Vopsea Lavabila Exterior Economica “Emex”,lavabila-exterior-neomatt
,Vopsea Lavabila de Corectie “Emex”,lavabila-interior-efect-optic
,Vopsea Lavabila cu Perle Reflectorizante “Emex”,vopsea-lavabila-reflectorizanta
,Amorsa Acrilica Lichida “Emex”,amorsa-perete
,Amorsa Acrilica Antimucegai “Emex”,amorsa-antimucegai
,Amorsa Acrilica Economica “Neomatt Eco”,amorsa-perete-economica
,Grund de Egalizare si Umplere Pori “Emex”,grund-umplere-pori
,Masa de Spaclu pentru Reparatii “Emex LQ”,masa-spaclu
,Amorsa cu Cuart pentru Tencuiala Acrilica “Emex”,amorsa-cuart-tencuieli-decorative
,Tencuiala Decorativa “Emex Quartz Dekor”,tencuiala-decorativa-acrilica
,Tencuiala Decorativa “Emex Aqua Protect”,tencuiala-decorativa-impermeabila
,Tencuiala Decorativa Periata “Emex”,tencuiala-decorativa-periata
,Tencuiala Decorativa Bob de Orez “Emex”,tencuiala-decorativa-praf-piatra
,Tencuiala Decorativa Mozaicata de Soclu “Emex”,tencuiala-soclu
,Vopsea Lavabila de Baie si Bucatarie “Emex Ceramic”,lavabila-ceramica-baie-bucatarie
,Vopsea Lavabila Siliconica Interior “Emex”,lavabila-siliconica-interior
,Vopsea Lavabila Siliconica Exterior “Emex”,lavabila-siliconica-exterior
,Tencuiala Decorativa Siliconica “Emex”,tencuiala-decorativa-siliconica
,Amorsa cu Cuart pentru Tencuiala Siliconica “Emex”,amorsa-cuart-tencuieli-siliconice
,Amorsa de Perete Siliconica “Emex”,amorsa-siliconica
,Tencuiala Decorativa Siliconica “Emex”,tencuiala-decorativa-siliconica
,Vopsea Lavabila Silicatica Interior “Emex”,lavabila-silicatica-interior
,Vopsea Lavabila Silicatica Exterior “Emex”,lavabila-silicatica-exterior
,Tencuiala Decorativa Silicatica “Emex”,tencuiala-decorativa-silicatica
,Amorsa de Perete Silicatica “Emex”,amorsa-silicatica
,Amorsa cu Cuart pentru Tencuiala Silicatica “Emex”,amorsa-cuart-silicatica-tencuiala
,Tencuiala Decorativa Silicatica “Emex”,tencuiala-decorativa-silicatica
,Pachet Amorsa Epoxidica Emulsionata “Emex”,amorsa-epoxidica-baza-apa
,Vopsea Elastomerica Exterior “Emex Flexio”,vopsea-elastomerica-tencuieli-exterior
,,
Ambarcatiuni,Vopsea Poliuretanica de Yachturi “Emex”,poliuretanica-yachturi-ambarcatiuni
,Amorsa Epoxidica Solventata “Emex”,amorsa-epoxidica-lemn-fibra-sticla
,,
Placi Ceramice,Pachet Email Epoxidic Placi Ceramice “Emex QSF-3E”,email-epoxidic-pentru-gresie-si-faianta
,,
Marcaj rutier,"Vopsea Marcaj Rutier pe Baza de Apa ""Emex WT-Urban""",vopsea-marcaj-rutier-apa-wt-urban
,Vopsea Marcaj Rutier “Emex Route”,vopsea-marcaj-rutier
,Vopsea Bicomponenta Marcaj Rutier “Emex Trafic”,vopsea-marcaj-rutier-bicomponenta
,,
Piscina,Vopsea Clorcauciuc de Piscina “Emex Swim”,vopsea-clorcauciuc-piscine
,Vopsea Poliuretanica Piscina “Emex Pool”,vopsea-poliuretanica-piscina
,,
Mobila,Vopsea Poliuretanica de Mobila “Emex”,vopsea-poliuretanica-mobila
,Lac Alchido-Uretanizat Lemn Exterior “Emex”,lac-uretanizat-mobilier-gradina
,Vopsea Acrilica pentru Mobila “Emex”,vopsea-acrilica-mobila
,Lac Pentru Mobila Solubil In Apa “Emex”,lac-acrilic-mobila
,Lac Poliuretanic pentru Mobila “Emex”,lac-poliuretanic-mobila
,,
Acoperis/ Hidroizolatie,Vopsea Acrilica de Tigla “Emex”,vopsea-tigla-emex
,Vopsea Hidroizolanta “Emex AQ Bar”,vopsea-hidroizolanta-elastica
,Membrana Acrilica Hidroizolanta 2k “Emex HyPro”,membrana-acrilica-hidroizolanta-2k
,Membrana Cauciucata Hidroizolanta “Supra MX”,membrana-cauciucata-elastomerica
,Email Alchido-Poliuretanic “Emex Screenpol”,vopsea-tigla-metalica-screenpol
,,
Conexe,Solutia pentru Decapare “Emex PC ECO”,pasta-pentru-decapare
,Decapant “Emex CM Cleaner”,gel-decapant
,Solutia de Curatare a Ruginii “Emex Rust Stop”,solutie-fosfatare-curatare-rugina
,Sistemul Convertor de Rugina “Emex Oxifer”,convertor-rugina
,Solutia de Impregnare pentru Hidrofobizare Beton “Emex Concrete”,impregnant-hidrofobizare
,Adeziv tip Aracet pentru Constructii “Emex”,adeziv-constructii
,Sanitizantul Antimucegai “Emex Forte”,solutie-anti-mucegai
,Diluant Alchidic “Emex”,diluant-alchidic
,Diluant Vopsele Auto si Utilaje “Emex”,diluant-vopsele-utilaje
,Diluant Clorcauciuc “Emex”,diluant-clorcauciuc
,Diluant Epoxidic “Emex”,diluant-epoxidic
,Diluant Poliuretanic “Emex”,diluant-poliuretanic
,Diluant Poliesteric “Emex”,diluant-rasini-poliesterice
,Diluant Marcaj Rutier “Emex”,diluant-marcaj-rutier
