Tip produs ,Denumire,slug
,Email Clorcauciuc “Emex”,vopsea-clorcauciuc
,Email Poliesteric “Emex Estada”,vopsea-poliesterica-metal
,Vopsea Poliuretanica de Yachturi “Emex”,poliuretanica-yachturi-ambarcatiuni
,Lac Poliuretanic “Emex UV Shield”,lac-poliuretanic-protectie-radiatii
,Vopsea Clorcauciuc de Piscina “Emex Swim”,vopsea-clorcauciuc-piscine
,Vopsea Epoxidica Monocomponenta Epoxi-Ester “Emex Esine”,vopsea-epoxidica-monocomponenta-epoxi-ester
,Vopsea Intermediara Epoxy-Poliamidica “Emex Spark”,vopsea-intermediara-epoxy-poliamidica-cu-micaceu
,Email Epoxidic Placi Ceramice “Emex QSF,email-epoxidic-pentru-gresie-si-faianta
,Email Alchido-Melaminic “Emex”,vopsea-utilaje
,Email Lovitura de Ciocan “Emex” - Hammerschlag,lovitura-de-ciocan
,Email Nitro-Combinat “Emex QN-212”,email-nitro-combinat
,Vopsea Siliconica Termorezistenta “Emex”,vopsea-termorezistenta-siliconica
,Vopsea Metalizata Acrilica “Emex”,vopsea-metalizata-acrilica
,Lac Protectie Metal “Emex Bliss”,lac-protectie-metal-aluminiu
,Convertor de Rugina “Oxifer“,convertor-rugina
,Vopsea Poliuretanica de Mobila “Emex”,vopsea-poliuretanica-mobila
,Lac Poliuretanic pentru Mobila “Emex”,lac-poliuretanic-mobila
,Amorsa Epoxidica Solventata “Emex”,amorsa-epoxidica-lemn-fibra-sticla
,Amorsa Epoxidica Emulsionata “Emex”,amorsa-epoxidica-baza-apa
,Intaritor Epoxidic “Emex I 30-25”,intaritor-epoxidice-solventate
,Intaritor Poliuretanic “Emex 75-HMX”,intaritor-lacuri-vopsele-poliuretanice
,Diluant Vopsele Auto si Utilaje “Emex”,diluant-vopsele-utilaje
,Diluant Clorcauciuc “Emex”,diluant-clorcauciuc
,Diluant Epoxidic “Emex”,diluant-epoxidic
,Diluant Poliuretanic “Emex”,diluant-poliuretanic
,Diluant Poliesteric “Emex”,diluant-rasini-poliesterice
,,
Produse Hidrosolubile,Membrana Cauciucata Hidroizolanta “Supra MX”,membrana-cauciucata-elastomerica
,Vopsea Hidroizolanta “Emex AQ Bar”,vopsea-hidroizolanta-elastica
,Vopsea Acrilica de Tigla “Emex”,vopsea-tigla-emex
,Membrana Acrilica Hidroizolanta 2k “Emex HyPro”,membrana-acrilica-hidroizolanta-2k
,Vopsea Acrilica pentru Mobila “Emex”,vopsea-acrilica-mobila
,Lac Acrilic pentru Mobila “Emex”,lac-acrilic-mobila
,Vopsea Acrilica Metal “Emex Supramet”,vopsea-metal-solubila-apa
,Vopsea Acrilica Universala “Emex Spectrum”,vopsea-acrilica-universala
,Lac Acrilic pentru Piatra “Emex AQS”,lac-piatra-apa
,Lac pentru Beton “Emex Mineral Protect”,lac-protectie-beton
,Vopsea Antifonica “Emex”,vopsea-antifonica
,Grund Anticoroziv Hidrosolubil “Emex AQ Eco”,grund-solubil-apa
,Lac de Protectie Rosturi “Emex”,lac-protectie-rosturi
,"
Impregnant Hidrofobizare Beton “Emex Concrete“",impregnant-hidrofobizare
,"
Adeziv tip Aracet pentru Constructii “Emex”",adeziv-constructii
,,
Pardoseli Turnate,Pardoseala Epoxidica Autonivelanta “Emex”,pardoseala-epoxidica
,Pardoseala Epoxidica Antiderapanta “Emex”,pardoseala-epoxidica-antiderapanta
,Covor Poliuretanic de Piatra “Emex Pebble”,pardoseala-poliuretanica-exterior-covor-de-piatra
,Rasina Epoxidica de Turnare “Emex TopCast“,rasina-epoxidica-turnare-strat-gros
,Pardoseala Poliuretanica Autonivelanta “Emex”,pardoseala-poliuretanica
,"Masa Epoxidica de Spaclu "" Emex MSE 31""",masa-epoxidica-de-spaclu
,Mortar Epoxidic “Emex Fill”,mortar-epoxidic
,Sapa Epoxy-Cimentica “Emex Mineral”,sapa-epoxidica-egalizare
,Pardoseala Poliuretanica Elastica “Emex”,pardoseala-poliuretanica-elastica
,Pardoseala Epoxidica Decorativa “Emex Quartz”,pardoseala-epoxidica-decorativa-cuartz
,Membrana Poliuretanica Hidroizolanta “Emex”,membrana-poliuretanica-hidroizolanta
,Pardoseala Poliuretanica Antiderapanta “Emex”,pardoseala-poliuretanica-antiderapanta
,Pardoseala Epoxidica Multicolor “Emex”,pardoseala-epoxidica-multicolor
,Grund Epoxidic Impregnare Solvent-Free “Emex”,amorsa-impregnare-pardoseli-epoxidice
,Grund Poliuretanic Impregnare Solvent-Free “Emex”,amorsa-poliuretanica-nesolventata-pardoseli
,Intaritor Epoxidic Nesolventat Seria I 30-30,intaritor-rasini-epoxidice-nesolventate
,Intaritor Poliuretanic Nesolventat 2K-PA,intaritor-rasini-poliuretanice-nesolventate
,,
Vopsele pardoseli si trafic,Vopsea Epoxidica Pardoseala “Emex”,vopsea-epoxidica-pardoseli
,Vopsea Epoxidica Pardoseala cu Microfulgi “Emex MFS-331”,vopsea-epoxidica-pardoseli-microfulgi
,Vopsea Epoxidica Emulsionata Pardoseli “Emex Deck”,vopsea-epoxidica-baza-apa-pardoseala
,Vopsea Clorcauciuc Pardoseala “Emex”,vopsea-clorcauciuc-pardoseli
,"Vopsea Poliaspartica de
Pardoseala “Emex P31-AS”",vopsea-poliaspartica-pardoseli-rapide
,Vopsea Marcaj Rutier “Emex Route”,vopsea-marcaj-rutier
,Vopsea Bicomponenta Marcaj Rutier “Emex Trafic”,vopsea-marcaj-rutier-bicomponenta
,"Vopsea Marcaj Rutier pe Baza de Apa ""Emex WT-Urban""",vopsea-marcaj-rutier-apa-wt-urban
,Vopsea Poliuretanica Pardoseala “Emex”,vopsea-poliuretanica-pardoseli
,Lac Poliuretanic Beton Amprentat “Emex PU Stamp”,lac-poliuretanic-beton-amprentat
,Lac Poliuretanic Baza Apa “Emex Polimat”,lac-poliuretanic-protectie-pardoseli-polimat
,Lac Beton Amprentat “Emex LS Patio”,lac-beton-amprentat
,Lac Epoxidic Solvent-Free “Emex Epoxy Contact”,lac-epoxidic-sigilare
,Lac Epoxidic Solventat “Emex Epoxy Coat”,lac-epoxidic-solventat
,Vopsea Poliuretanica “Emex Flexipol”,vopsea-poliuretanica-elastica
,Grund Epoxidic de Amorsare “Emex”,amorsa-epoxidica-impregnare
,Grund Poliuretanic Amorsare Solventat “Emex”,amorsa-poliuretanica-impregnare
,Grund de Amorsare Clorcauciuc “Emex”,amorsa-clorcauciuc-impregnare
,Diluant Clorcauciuc “Emex”,diluant-clorcauciuc
,Diluant Epoxidic “Emex”,diluant-epoxidic
,Diluant Poliuretanic “Emex”,diluant-poliuretanic
,Diluant Marcaj Rutier “Emex”,diluant-marcaj-rutier
,Lac Poliaspartic Antizgariere “Emex L32-AS”,lac-poliaspartic-inalta-duritate
,,
Grunduri & Amorse: Apa,"Dezinfectant
“Emex Bactiguard”",dezinfectant-fara-clor
,"Dezinfectant “Emex
Advanced TR-HS Klor ”",dezinfectant-advanced-klor
,Amorsa Acrilica Lichida “Emex”,amorsa-perete
,Amorsa Acrilica Antimucegai “Emex”,amorsa-antimucegai
,Amorsa Acrilica Economica “Neomatt Eco”,amorsa-perete-economica
,Amorsa de Perete Siliconica “Emex”,amorsa-siliconica
,Amorsa de Perete Silicatica “Emex”,amorsa-silicatica
,Grund de Egalizare si Umplere Pori “Emex”,grund-umplere-pori
,Amorsa cu Cuart pentru Tencuiala Acrilica “Emex”,amorsa-cuart-tencuieli-decorative
,Amorsa cu Cuart pentru Tencuiala Siliconica “Emex”,amorsa-cuart-tencuieli-siliconice
,Amorsa cu Cuart pentru Tencuiala Silicatica “Emex”,amorsa-cuart-silicatica-tencuiala
,Masa de Spaclu pentru Reparatii “Emex LQ”,masa-spaclu
,Solutie Antimucegai de Sanitizare “Emex Forte”,solutie-anti-mucegai
,,
Grunduri anticorozive,Grund cu Zinc Epoxy-Poliamidic “Emex PZ-302”,grund-epoxi-poliamidic-cu-zinc
,Grund Epoxidic Emulsionat “Emex WD-AE”,grund-epoxidic-solubil-apa
,Grund Epoxidic Anticoroziv “Emex”,grund-epoxidic
,Grund Poliuretanic Anticoroziv “Emex”,grund-poliuretanic
,Grund Anticoroziv Clorcauciuc “Emex”,grund-clorcauciuc
,"Grund Anticoroziv Stiren
Acrilic “Emex MZ-801”",grund-acrilo-stirenic-zinc-microfibra
,Grund Anticoroziv Nitro-Combinat “Emex FZ-214” ,grund-nitro-combinat-anticoroziv
,Grund Poliesteric Anticoroziv “Emex”,grund-poliesteric
,Grund Anticoroziv Epoxi-Ester “Emex”,grund-epoxidic-monocomponent-epoxi-ester
,Grund Anticoroziv Alchido-Melaminic “Emex”,grund-auto-utilaje
,Grund Alchidic Anticoroziv “Emex”,grund-alchidic-anticoroziv
,Grund Anticoroziv Alchido-Stirenic “Emex”,grund-anticoroziv-alchido-stirenic
,Grund Alchido-Melaminic de Cuptor “Emex”,grund-alchido-melaminic-cuptor
,Grund Termorezistent Siliconic “Emex HTP”,grund-termorezistent-siliconic
,Grund Anticoroziv Hidrosolubil “Emex AQ Eco”,grund-solubil-apa
,Solutie Antirugina “EMEX” Curatare Rugina,solutie-anti-rugina
,Decapant Vopsea Veche “EMEX CM Cleaner”,decapant-vopsea-lemn-metal
,"Pasta decapanta
“Emex PC Eco”",decapant-ecologic-vopsele
,Diluant Alchidic “Emex”,diluant-alchidic
,Diluant Vopsele Auto si Utilaje “Emex”,diluant-vopsele-utilaje
,Diluant Clorcauciuc “Emex”,diluant-clorcauciuc
,Diluant Epoxidic “Emex”,diluant-epoxidic
,Diluant Poliuretanic “Emex”,diluant-poliuretanic
